ID,PLGA,PP-L,PP-COOH,PP-NH2,S/AS,Uptake,Uptake_stdev,PDI,PDI_stdev,Z_ave,Z_ave_stdev
F.u.0.1,0.33,0.67,0,0,0.1,0.596,0.07,0.069,0.008,119,1.18
F.u.0.2,0.33,0.33,0.33,0,0.1,0.846,0.15,0.063,0.006,121,1.32
F.u.0.3,0.33,0.33,0,0.33,0.1,0.639,0.11,0.072,0.009,121,0.58
F.u.0.4,0.33,0,0.67,0,0.1,1.058,0.16,0.079,0.017,134.4,0.66
F.u.0.5,0.33,0,0.33,0.33,0.1,1.026,0.04,0.069,0.011,132.9,0.64
F.u.0.6,0.33,0,0,0.67,0.1,0.93,0.22,0.057,0.018,145,1.17
F.u.0.7,0,1,0,0,0.1,0.571,0.05,0.059,0.01,80.2,0.87
F.u.0.8,0,0.67,0.33,0,0.1,2.182,0.11,0.11,0.014,103.3,0.95
F.u.0.9,0,0.33,0.67,0,0.1,2.161,0.18,0.134,0.015,111.3,1.04
F.u.0.10,0,0.33,0.33,0.33,0.1,4.477,0.25,0.142,0.017,105.2,0.47
F.u.0.11,0,0.33,0,0.67,0.1,5.883,0.14,0.075,0.005,89.04,0.96
F.u.0.12,0,0,1,0,0.1,2.532,0.42,0.142,0.013,125.3,0.20
F.u.0.13,0,0,0.67,0.33,0.1,4.559,0.12,0.14,0.014,121.4,0.36
F.u.0.14,0,0,0,1,0.1,1.792,0.29,0.098,0.035,94.63,0.95
F.u.0.15,0.25,0.25,0.25,0.25,0.1,1.375,0.17,0.05,0.015,128.2,0.35
F.u.0.16,0.67,0.33,0,0,0.25,1.412,0.22,0.116,0.012,177.3,2.45
F.u.0.17,0.67,0,0.33,0,0.25,10.775,2.08,0.062,0.021,246.4,1.03
F.u.0.18,0.67,0,0,0.33,0.25,11.272,1.17,0.233,0.006,260.9,2.68
F.u.0.19,0.33,0.33,0.33,0,0.25,1.694,0.32,0.131,0.015,165.3,1.48
F.u.0.20,0.33,0.33,0,0.33,0.25,1.931,0.09,0.083,0.017,144.7,1.30
F.u.0.21,0.33,0,0.67,0,0.25,3.738,0.63,0.087,0.007,176.7,2.50
F.u.0.22,0.33,0,0.33,0.33,0.25,3.327,1.27,0.108,0.011,198.1,1.70
F.u.0.23,0,1,0,0,0.25,7.039,1.01,0.101,0.018,86.76,0.46
F.u.0.24,0,0.67,0,0.33,0.25,9.11,1.32,0.129,0.006,87.65,0.56
F.u.0.25,0,0.33,0.67,0,0.25,4.918,0.37,0.134,0.027,141.9,1.56
F.u.0.26,0,0.33,0.33,0.33,0.25,8.658,0.44,0.163,0.014,122.6,1.18
F.u.0.27,0,0.33,0,0.67,0.25,9.522,0.49,0.131,0.009,93.14,1.50
F.u.0.28,0,0,1,0,0.25,3.687,0.42,0.171,0.02,161.6,1.02
F.u.0.29,0,0,0.67,0.33,0.25,9.365,0.59,0.146,0.022,149.9,1.65
F.u.0.30,0,0,0,1,0.25,9.6,1.39,0.139,0.018,108.4,0.76
